'category','modName','modurl','altsrc','altsrcurl','status','description','notes','approveddate','approvedby'
'recommended','BepInExPack Valheim',' https://thunderstore.io/c/valheim/p/denikson/BepInExPack_Valheim/',,,'Working - Approved','Dependency mod for other mods to run. Required for all mods, everywhere.',,04/08/21,
'recommended','Official BepInEx ConfigurationManager',' https://thunderstore.io/c/valheim/p/Azumatt/Official_BepInEx_ConfigurationManager/',,,'Working - Approved','ConfigurationManager for configuring all mods in-game.','Press F1 in-game to access the ConfigurationManager. Click anywhere outside the manager to hide it.',08/14/22,'resdeiko@'
'recommended','Jotunn (JVL)',' https://thunderstore.io/c/valheim/p/ValheimModding/Jotunn/','Nexus','https://www.nexusmods.com/valheim/mods/1138','Working - Approved','Dependency mod for many other Valheim mods.',,07/23/23,'redseiko@'
'quality of life','GetOffMyLawn',' https://thunderstore.io/c/valheim/p/ComfyMods/GetOffMyLawn/',,,'Working - Approved','Increases the health of your building objects to a configurable number. Can be used to ignore stability.','@redseiko mod. Piece health can be configured using ConfigurationManager. You are allowed to ignore stability on Comfy. See page for more details.',05/02/21,'redseiko@'
'quality of life','EulersRuler',' https://thunderstore.io/c/valheim/p/ComfyMods/EulersRuler/',,,'Working - Approved','Shows the health/stability/rotation of building pieces and the rotation of the piece you are trying to place.','@redseiko mod. Better than BuildingHealthDisplay and provides more configuration options to toggle what information to be shown.',,'redseiko@'
'quality of life','Chatter',' https://thunderstore.io/c/valheim/p/ComfyMods/Chatter/',,,'Working - Approved','An elegant chat for a more civilized age.','@redseiko mod. Overhauls the entire chat UI.',05/20/22,'redseiko@'
'quality of life','Pinnacle',' https://thunderstore.io/c/valheim/p/ComfyMods/Pinnacle/',,,'Working - Approved','Pinnacle perpetually provides premium pin performance.','@redseiko mod. Adds all new Pin UI to the Minimap.',07/24/22,'redseiko@'
'quality of life','Auto Repair',' https://thunderstore.io/c/valheim/p/Tekla/AutoRepair/','Nexus','https://www.nexusmods.com/valheim/mods/721','Broken-Not Approved','Repair all items at once.','This mod is broken and has been replaced with ComfyAutoRepair.',04/08/21,
'quality of life','ComfyAutoRepair',' https://thunderstore.io/c/valheim/p/ComfyMods/ComfyAutoRepair/',,,'Working - Approved','Interact with a crafting station to auto-repair all items in your inventory.','@redseiko mod. Replacement for AutoRepair.',11/09/24,'redseiko@'
'quality of life','PutMeDown',' https://thunderstore.io/c/valheim/p/ComfyMods/PutMeDown/',,,'Working - Approved','Select which items to ignore from auto-pickup.','Use ConfigurationManager to configure the mod.',11/23/23,'redseiko@'
