biome,isFinisher,quest,requirements,reward,format,context
Meadows,0,Welcome to the Best West!,"Take a screenshot of your own map marker of the BW hotel  on BW Island with the name ""BW Hotel""",Ward Kit,/bestwest submit_quest quest_name:Welcome to the Best West! image:,Place a map marker on BW Island and make sure it’s clearly named; SS must show the island layout.
Meadows,0,Bad to the Bone!,Bring 20 bones \n(insert screenshot of chest contents),Portal Kit,/bestwest submit_quest quest_name:Bad to the Bone! quest_box: image:,Bones can come from skeletons or be found by certain stone structures; store them in a chest for easy SS verification.
Meadows,0,Stir the pot,"Bring 20 meat ingredients any combination of the following: Raw ( deer, boar, neck tails, bear ) meat \n(insert screenshot of chest contents)",1 Stack Cooked Deer Meat and 1 Stack Cooked Boar Meat,/bestwest submit_quest quest_name:Stir the pot quest_box: image:,Cook meat on a cooking station before turning in; keep raw and cooked organized in chest.
Meadows,0,Sticky Situation,Deposit 25 resin and 50 wood\n(insert screenshot of chest contents),1 Stack Fire Arrows,/bestwest submit_quest quest_name:Sticky Situation quest_box: image:,Resin comes from trees; wood from chopping; SS chest contents clearly showing amounts.
Meadows,0,Head Hunter,Bring 20 various Trophies\n(insert screenshot of chest contents),Lvl 4 Leather Set and Lv4 Deer hide cape ,/bestwest submit_quest quest_name:Head Hunter quest_box: image:,Trophies drop from mobs in Meadows; combine in chest and SS to verify.
Meadows,0,Do you smell something?,Bring 100 coal (Kilns available on BW Island or Villages)\n(insert screenshot of chest contents),1 Stack Surtling Cores,/bestwest submit_quest quest_name:Do you smell something? quest_box: image:,Use kilns to smelt coal; collect Surtling cores nearby; show chest content clearly.
Meadows,0,"Happy boars, Happy Comrade!",(NO MORE THAN 10% TAMENESS) Bring a wild boar to the BW Boar Pen. Insert screenshot of it being tamed + percentage,50 Leather Scraps,"/bestwest submit_quest quest_name:Happy boars, Happy Comrade! image:",Check boar taming level carefully; SS must show % tamed and enclosure.
Meadows,0,Morning Wood,Bring 100 Core wood and 5 Pine Cones\n(insert screenshot of chest contents),1 Stack Finewood,/bestwest submit_quest quest_name:Morning Wood quest_box: image:,Core wood from mountains; pine cones from pine trees; chest SS for verification.
Meadows,0,To Battle!,"Kill the 1st boss Eikthyr, and bring us its head! \n(insert screenshot of chest contents)(Call the @Slayers if you need help!)",Bronze Axe,/bestwest submit_quest quest_name:To Battle! quest_box: image:,Use proper weapons and summon Eikthyr at the sacrificial stone; head in inventory chest SS.
Meadows,1,Rookie Adventurer,Finish all Meadows quests,Lv4 Finewood Bow,/bestwest submit_quest quest_name:Rookie Adventurer,Complete all Meadows quests first; SS of turn-in or final reward confirms completion.
Black Forest,0,Pavel's smokey herbs,Gather 20 Thistles and bring it to the best west turn in\n(insert screenshot of chest contents),Cultivator,/bestwest submit_quest quest_name:Pavel's smokey herbs quest_box: image:,Harvest thistles in Black Forest; place in chest; SS must clearly show 20 units.
Black Forest,0,You’ve got to be trolling me!,3 Troll heads\n(insert screenshot of chest contents),Lv4 Troll Gear,/bestwest submit_quest quest_name:You've got to be trolling me! quest_box: image:,Defeat trolls in Black Forest; SS of heads in chest; beware of respawn mechanics.
Black Forest,0,Vegetarian Viking,"Bring 20 pickables from the following:(yellow & red mushrooms, blue & raspberries NOT EACH)\n(insert screenshot of chest contents) ",1 Stack Turnip stew and 1 Stack Carrot Soup,/bestwest submit_quest quest_name:Vegetarian Viking quest_box: image:,Collect edible plants in Black Forest; double-check mushroom colors; SS chest contents.
Black Forest,0,My First Fishing Rod,"50 wood, 10 thistles, 10 resin\n(insert screenshot of chest contents)","Best West ""My first fishing rod"" Fishing Rod + 1 stack Bait",/bestwest submit_quest quest_name:My First Fishing Rod quest_box: image:,Gather materials and craft rod at workbench; SS of rod and chest for proof.
Black Forest,0,Something’s Fishy,"Reel in fish using your first fishing rod, and craft 30 raw fish at the food preparation table (Kitchens are at BW Island, Villages) and bring them to the BW turn in\n(insert screenshot of chest contents)",Karve,/bestwest submit_quest quest_name:Something's Fishy quest_box: image:,Use first rod to catch fish; craft 30 raw fish; SS must include inventory and prepared fish.
Black Forest,0,Ain't much honest work,"In the Best West farm, harvest 10 crops and plant 10 crops, report the amount of seeds in the chest\n(insert screenshot of what you planted + number of the amount of seeds left in the chest)",1 Stack Minor Health and 1 Stack Minor Stamina mead,/bestwest submit_quest quest_name:Ain't much honest work image: image2:,Track planted and harvested crops; show chest SS with seed count for verification.
Black Forest,0,Comrade’s Lost Thistle,"Find 5 thistles on the BW island with the signs saying: Comrade's Lost Thistle, insert SS of MAP with your pins.",Dverger Circlet,/bestwest submit_quest quest_name:Comrade's Lost Thistle image:,Use map pins to mark thistle locations; SS must show map and pins.
Black Forest,0,Poking Stick,"Collect 1 Stack Wood, 10 Deer hide and 10 Core wood\n(insert screenshot of chest contents)",Lv. 1 Bronze Spear,/bestwest submit_quest quest_name:Poking Stick quest_box: image:,Collect materials from forest and mountains; chest SS shows totals.
Black Forest,0,Dinner Plate,"Collect 1 Stack Core wood, 10 Flint, 10 Feathers\n(insert screenshot of chest contents)",Lv. 3 Bronze Buckler,/bestwest submit_quest quest_name:Dinner Plate quest_box: image:,Collect items from various Black Forest locations; ensure chest SS shows quantities.
Black Forest,0,Meowing the Lawn,"Collect 1 Stack Core wood, 10 Leather scraps and 10 Thistle\n(insert screenshot of chest contents)",Bronze Atgeir,/bestwest submit_quest quest_name:Meowing the Lawn quest_box: image:,Track all materials in chest; SS must clearly show counts.
Black Forest,0,Timbeeeer!,"Kill the 2nd boss Elder, and bring us its head! Call the Slayers for help!\n(insert screenshot of chest contents)",Lv. 1 Iron Mace + 1 Stack Poison Mead,/bestwest submit_quest quest_name:Timbeeeer! quest_box: image:,Summon Elder at its altar; SS must show boss head and chest for turn-in.
Black Forest,1,Guardian of the Forest,Finish all Black Forest Quests,Lvl 3 Root Armor Set,/bestwest submit_quest quest_name:Guardian of the Forest,Complete all Black Forest quests first; final SS shows completion.
Swamp,0,The Tales of Sir Skel Eton,Go to BW island -> BW Quest Hub & find the Swamp Portal. Locate and screenshot the 3 Dragon Lore stones\n(insert 3 screenshots WITHOUT Minimap),1 Stack Sausages and 1 Stack Blood Pudding ,/bestwest submit_quest quest_name:The Tales of Sir Skel Eton image: image2: image3:,Locate Dragon Lore stones across swamp; each SS must show the stone clearly without minimap.
Swamp,0,Wyrm your way into my heart,Follow the clues to the Dragon Shrine & meet up with Fred. Take a SS of the Potion Recipe Book. We recommend bringing the mats for the next quest(insert 1 SS of the Potion Recipe Book),Lv3 Iron Armour Set,/bestwest submit_quest quest_name:Wyrm your way into my heart image:,Follow clues to Dragon Shrine; potion recipe book SS required for turn-in.
Swamp,0,Sleeping Beauty,Bring 10 Thistle & 10 Ancient Bark to the Dragon's Lair and apply the sleeping potion! (insert 1 SS showing the 10 Thistle and 10 Ancient Bark in the obliterator),Lv3 Banded Shield + 10 Withered Bones,/bestwest submit_quest quest_name:Sleeping Beauty image:,Bring items to Dragon's Lair; SS must show items applied in obliterator.
Swamp,0,Comrades Axe,"Bring 1 Abomination trophy, 10 Roots, 30 Ancient Bark\n(insert screenshot of chest contents)",Lv3 Iron Axe,/bestwest submit_quest quest_name:Comrade's Axe quest_box: image:,Track trophies and materials in chest; SS shows totals.
Swamp,0,Comrade’s Friends,"Bring 10 Draugr Trophies, 3 Leech Trophies, 3 Blob Trophies\n(insert screenshot of chest contents)",Lv3 Huntsman Bow,/bestwest submit_quest quest_name:Comrade's Friends quest_box: image:,Chest must contain all trophies; SS shows totals.
